address,name,location,liked_food_from_review,latitude,longitude,rank
"77/A, 4th Floor Floor, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",Crawl Street,Koramangala 5th Block,"['roast chicken', 'tandoori khumb', 'grilled fish fillet', 'spring roll', 'kabab', 'butter garlic prawns', 'spicy paneer', 'pav', 'garlic toast', 'bread', 'chicken starters', 'chilli pork', 'peri peri chicken', 'roti', 'egg chilly dry', 'chicken kheema', 'shakes', 'mixed noodles', 'paneer gravy', 'paneer', 'baby corn chil', 'chicken', 'bacon wrapped prawn', 'chilly garlic noodles', 'tandoori chicken', 'garlic prawns', 'chicken garlic', 'ida', 'cheese', 'bacon', 'butter chicken', 'non veg fried rice', 'cake', 'chicken lasagne', 'bbq paneer pizza', 'pinacolada', 'paneer chilli', 'manchow soup', 'combo meal', 'cherry', 'cool breeze', 'butter masala', 'mayo', 'burger', 'ghee roast chicken', 'chicken noodle', 'blue lagoon', 'drums of heaven', 'veg', 'potato wedges', 'grill', 'cottage cheese', 'poppers', 'spaghetti', 'pan fried noodles', 'noodles', 'crispy corn', 'fish fingers', 'stuffed mushrooms', 'garlic chicken', 'hakka noodle', 'chicken gravy', 'garlic rice', 'chilly paneer', 'wedges', 'anise', 'veggies', 'chilli chicken', 'chicken sukka', 'salad', 'egg', 'barbecue chicken', 'fish n chips', 'sunset', 'milk', 'raita', 'garlic prawn', 'lasagne', 'toast', 'latte', 'bacon wrapped prawns', 'chicken garlic noodles', 'veg starter', 'fish and chips', 'kalmi', 'jalapeno cheese poppers', 'garlic bread', 'drum stick', 'paneer butter masala combo', 'chai', 'onion rings', 'very veggie pizza', 'kalmi kabab', 'classic', 'grilled fish', 'barbecue chicken wings', 'chicken nachos', 'chicken tikka', 'veg fried rice.', 'prawns', 'pineapple', 'egg chilly', 'soft drinks', 'red chilly', 'veg lasagne', 'chicken satay', 'hummus', 'pasta', 'chilli paneer pizza', 'mop', 'roll', 'manchow', 'butter garlic rice', 'garlic chicken noodles', 'pizza', 'fish', 'fish fillet', 'chilly babycorn', 'watermelon salad', 'white sauce pasta', 'kheema pav', 'keema', 'paneer butter masala', 'veggie pizza', 'cocktail', 'chicken ghee roast', 'mushroom salt and pepper', 'milkshake', 'rice', 'cheese sticks', 'stuffed mushroom', 'melon salad', 'tandoori', 'lassi', 'kheema', 'chilli paneer', 'chilli babycorn', 'baby corn chilli', 'butter garlic', 'mixed non veg fried rice', 'veg fried rice', 'chicken burger', 'ghee roast', 'veg starters', 'chill garlic noodles', 'chicken pav', 'veg steamed dimsums', 'butter garlic prawn', 'sweet', 'date night', 'lagoon', 'chilli potato', 'orange', 'mojito', 'tender chicken', 'bun', 'cheese poppers', 'orange mojito', 'fish finger', 'roasted', 'pepper sauce', 'tea', 'veg platter', 'chicken kheema pav', 'herbed rice', 'tandoori stuffed mushroom', 'jalapeno poppers', 'french fries', 'cheesy garlic bread', 'apple', 'stuffed chicken', 'watermelon', 'chicken lollipop', 'garlic noodles', 'honey glazed chicken', 'non veg platter', 'butter', 'onion ring', 'chilly garlic noodle', 'fish n chip', 'dragon rolls', 'paneer pizza', 'hakka noodles', 'chicken noodles', 'chowmein', 'lollipop', 'non-veg', 'baby corn', 'cock', 'cheese cigar', 'paneer butter', 'margarita pizza', 'nachos', 'golden prawns', 'fried noodles', 'dragon roll', 'cheese stick', 'fried rice', 'veggie', 'chicken wings', 'ice tea', 'fries', 'tandoori chicken lollipop', 'tuna', 'cheesy', 'mushroom', 'papad', 'virgin pinacolada']",12.9348429,77.6189768,1.0
"Kitchens@, Trifecta Adatto, 21, ITPB Main Rd, Garudachar Palya, Mahadevapura, Whitefield, Bangalore",Kitchens@Mahadevpura,Whitefield,"['samosa', 'fruit salad', 'chocolate', 'pasta', 'ice cream', 'grill', 'tea', 'roll', 'kebab', 'parota', 'masala dosa', 'grill chicken', 'falooda', 'crispy chicken', 'chicken biriyani', 'ghee rice combo', 'shakes', 'popcorn kebab', 'egg', 'salad', 'dosa', 'paneer', 'chicken', 'barbecue chicken', 'milk', 'raita', 'rice', 'wheat halwa', 'grilled chicken', 'ghee rice', 'chicken satay.', 'empire crispy chicken', 'death by chocolate', 'sev', 'chicken mandi', 'fruit salad ice cream', 'egg fried rice', 'egg fried', 'mathi', 'halwa', 'mixed sauce pasta', 'idly', 'sweet', 'chai', 'fried rice', 'shawarma roll', 'curd', 'popcorn', 'choco', 'shawarma', 'rice combo', 'chicken samosa', 'veg', 'chicken satay', 'royal falooda']",12.9696365,77.7497448,2.0
"Behind JP Morgan Bus Stop, 3rd Cross, Marathahalli, Bangalore",Kolkata Biriyani,Marathahalli,"['chicken chap', 'chicken kasha', 'dal', 'firni', 'basmati rice', 'tea', 'luchi', 'chicken kasa', 'fried boiled egg', 'kolkata biryani', 'red rice', 'moments', 'fish', 'bharta', 'veg pulao', 'roti', 'mutton kassa', 'mutton biriyani', 'rasgulla', 'chicken biriyani', 'pulav', 'jeera rice', 'egg', 'salad', 'paneer', 'fish fry', 'chicken', 'mutton biryani', 'roti.', 'rohu fish', 'raita', 'basanti pulao', 'veg', 'rice', 'mutton kasha', 'ghee rice', 'lassi', 'latte', 'rasogolla', 'supreme', 'chicken kosha', 'ghee rice.', 'mutter paneer', 'aloo dum', 'non-veg', 'mutton rezala', 'sev', 'fish kalia', 'kosha mangsho', 'kolkata style biriyani with aloo', 'cherry', 'chicken bharta', 'namkeen', 'eggs', 'sweet', 'chicken biryan', 'chicken biryani', 'chicken rezala', 'mutton curry', 'classic', 'chicken chaap', 'boiled chicken', 'pulao', 'mutton kosha', 'chicken wings', 'salan', 'boiled egg', 'thali', 'rabadi', 'tender chicken', 'ice tea', 'tuna', 'biriyani rice', 'lime', 'matar paneer']",12.9552572,77.6984163,3.0
"LR Arcade,4121, Old Airport Road, Bangalore",Big Pitcher,Old Airport Road,"['chocolate', 'momos', 'kabab', 'hot wings', 'chicken shashlik', 'mango', 'moong halwa', 'mutton chops', 'pasta combo', 'paneer', 'chicken', 'gobhi manchurian', 'banana milkshake', 'chicken fry', 'fruit punch', 'chocolate marquise', 'peanut', 'ida', 'cheese', 'butter chicken', 'cake', 'coffee', 'cranberry', 'mushroom chilly', 'combo meal', 'cool breeze', 'chicken biryan', 'burger', 'chicken combo meal', 'chicken noodle', 'drums of heaven', 'cheese balls', 'veg', 'farmhouse pizza', 'samosa', 'dal', 'masala chai', 'grill', 'out of the blue', 'noodles', 'crispy corn', 'cheese cake', 'chat masala', 'sunset', 'banana', 'milk', 'latte', 'lunch combo', 'mushroom chill', 'sev', 'chicken nachos', 'chai', 'onion rings', 'chicken tikka', 'choco', 'prawns', 'paneer makhani', 'chicken satay', 'pasta', 'chicken momos', 'mixture', 'bbq chicken wing', 'chocolate fantasy', 'spicy baby corn', 'pizza', 'fish', 'chili chicken', 'farmhouse', 'gulab jamun', 'cocktail', 'fish fry', 'milkshake', 'rice', 'tandoori', 'potato bites', 'masala fries', 'cheese ball', 'chicken noodles.', 'hazel', 'halwa', 'pizza pasta', 'sweet', 'chicken shashlik sizzler', ""bull's eye"", 'chicken momo', 'bun', 'roasted', 'jamun', 'veg pasta', 'ice cream', 'tea', 'veg platter', 'coffee lover', 'chicken roast', 'just chill', 'naan', 'dates', 'paneer tikka', 'bbq chicken wings', 'onion ring', 'butter', 'sweet corn', 'champagne', 'naan.', 'chicken noodles', 'cheese samosa', 'baby corn', 'non-veg', 'chocolate shake', 'cock', 'nachos', 'chicken biryani', 'chicken combo', 'bbq chicken', 'chicken wings', 'ice tea', 'fries', 'cheesy', 'mushroom']",12.9586397,77.6651309,4.0
"103, 5 th cross, MSR NAGAR, NEW BEL ROAD 560054",Biriyani Nights,New BEL Road,"['chicken finger', 'jamun', 'tomato bath', 'kabab', 'tea', 'biryani rice', 'chicken kebab', 'kebab', 'noodles', 'pizza', 'oreo', 'coke', 'bread', 'non-veg combo', 'chilly chicken', 'boneless kabab', 'spicy chicken', 'dum biryani', 'french fries', 'mutton biriyani', 'gulab jamun', 'veggies', 'veg finger', 'tuna', 'chicken biriyani', 'pulav', 'veg combo', 'egg', 'kabab combo', 'chicken fingers', 'chicken biryani combo', 'chicken', 'veg biryani', 'tandoori chicken', 'raita', 'rice', 'tandoori', 'boneless chicken biriyani', 'cheese', 'spicy kebab', 'chicken kabab.', 'veg biriyani', 'rasam', 'chicken kabab', 'non-veg', 'boneless chicken', 'egg biriyani', 'jamoon', 'combo meal', 'chicken biryan', 'gulab jamoon', 'eggs', 'sweet', 'chicken biryani', 'chicken combo meal', 'chicken combo', 'biryani combo', 'veggie', 'masala egg', 'fries', 'veg fingers', 'veg', 'egg biryani', 'biriyani rice', 'lime']",13.0400592,77.5635717,5.0
"437, 8th Main, Koramangala 4th Block, Bangalore",CakeWalk,Koramangala 4th Block,"['chocolate', 'salads', 'smoothie', 'biscuit', 'bread', 'mango', 'white forest', 'walnut brownie', 'chocolate mousse', 'brownie with ice cream', 'fruit trifle', 'chocoholics', 'rainbow cake', 'apple cake', 'cheesecake', 'mixed fruit', 'rocher', 'almond', 'paneer', 'chicken', 'ecstasy', 'cherry pie', 'red velvet pastries', 'cheese', 'black forest cake', 'blueberry cheesecake', 'cake', 'rista', 'chocolate truffle cake', 'coffee', 'lemon tart', 'veg sandwich', 'dark chocolate', 'blueberry cheese cake', 'cookie', 'cherry', 'burger', 'cupcake', 'oty', 'butterscotch', 'red velvet cake', 'veg', 'fruit cake', 'chicken puffs', 'chicken quiche', 'fresh pineapple cake', 'rainbow pastry', 'chocolate truffle pastry', 'chocolate based', 'croissant', 'pineapple pastry', 'cheese cake', 'blueberry', 'brownie', 'ferrero rocher', 'pineapple cake', 'tiramisu', 'chocolate muffin', 'egg', 'chocolate cake', 'white chocolate', 'salad', 'chocolate cupcake', 'cold coffee', 'banana', 'brown bread', 'latte', 'sev', 'sandwich', 'biscuits', 'custard', 'chai', 'red velvet', 'seventh heaven', 'blueberry muffin', 'eggless', 'classic', 'choco', 'double chocolate cake', 'pineapple', 'mango gateaux', 'muffins', 'fresh pineapple', 'roll', 'chicken puff', 'roasted chicken sandwich', 'moist chocolate cake', 'chocolate lover', 'pastry', 'veg puff', 'chocolate pastry', 'choco truffle', 'pizza', 'oreo', 'white forest cake', 'blueberry muffins', 'the rainbow', 'black forest pastry', 'fudge', 'apple pastry', 'rice', 'roasted chicken', 'dark chocolate pastry', 'vanilla cream', 'lassi', 'strawberry smoothie', 'sandwich bread', 'mango cheese cake', 'rainbow', 'berry smoothie', 'sweet', 'chicken sandwich', 'nutella', 'red velvet pastry', 'apple pie', 'roasted', 'banana walnut', 'red velvet cheesecake', 'ice cream', 'tea', 'strawberry', 'moments', 'tea cake', 'black forest', 'vanilla', 'chicken roll', 'dark chocolate cupcake', 'butter scotch', 'cold coffe', 'apple', 'ferrero rocher pastry', 'paneer tikka', 'butter', 'chocolate truffle', 'ferrero rocher cake', 'blackcurrant', 'mocha', 'brownies', 'plum cake', 'red velvet cupcake', 'blueberry cheese', 'donut', 'fresh fruits', 'tuna', 'cheesy', 'red velvet cheese cake', 'veg puffs']",12.9327778,77.6294052,6.0
"298, Namma Metro Pillar 62, 100 Feet Road, Indiranagar, Bangalore",Toit,Indiranagar,"['chocolate', 'mushroom pizza', 'bread', 'overloaded nachos', 'chicken starters', 'chocolate lava cake', 'jerk chicken', 'aglio olio', 'scotch eggs', 'paneer', 'chicken', 'lotus', 'legendary', 'ida', 'cheese', 'veg pizza', 'bacon', 'cake', 'coffee', 'pesto', 'sausage', 'burger', 'eggs', 'peri peri sauce', 'cheese pizza', 'crispy chicken burger', 'cheese balls', 'veg', 'fried chicken', 'lime', 'chicken popcorn', 'potato wedges', 'grill', 'out of the blue', 'pita bread', 'cottage cheese', 'tomato pizza', 'fish fingers', 'cheese cake', 'pork sausage', 'spicy chicken', 'tiramisu', 'wedges', 'potato skin', 'salad', 'chocolate cake', 'egg', 'banana', 'baked chicken', 'chocolate lava', 'toast', 'chicken cheese', 'latte', 'pork sausage pizza', 'veg starter', 'sev', 'fish and chips', 'chicken nachos', 'nachos chicken', 'chai', 'onion rings', 'om pizza', 'classic', 'choco', 'prawns', 'pork ribs', 'three star', 'hummus', 'pasta', 'fried prawn', 'baked cheese cake', 'bangers and mash', 'pizza', 'coke', 'oreo', 'fish', 'cheese nachos', 'white sauce pasta', 'keema', 'cocktail', 'pesto pizza', 'fried prawns', 'rice', 'lava cake', 'lassi', 'grilled babycorn', 'cheese ball', 'potato skins', 'chicken burger', 'half and half pizza', 'veg starters', 'cheese dip', 'pizza margarita', 'black bean', 'mezze platter', 'orange', 'fish finger', 'roasted', 'pepper sauce', 'tea', 'pepperoni', 'chicken pizza', 'batter fried prawns', 'french fries', 'crispy chicken', 'pepperoni pizza', 'chicken pop', 'onion ring', 'loaded nachos', 'chicken skewer', 'grilled chicken', 'non-veg', 'cock', 'spicy chicken pizza', 'nachos', 'nachos with cheese', 'margarita pizza', 'popcorn', 'chicken wings', 'fries', 'tuna', 'cheesy', 'mushroom']",12.9732913,77.6404672,7.0
"219/2, 1st Floor, 9th Main, 15th A Cross, 6th Sector, HSR, Bangalore",Atithi,HSR,"['corn palak', 'chocolate', 'butter naan', 'kabab', 'bread', 'roti', 'phulka', 'papdi chat', 'jalebi', 'pulav', 'paneer', 'palak kofta', 'dum aloo', 'veg kadai', 'tomato soup', 'ida', 'cheese', 'raitha', 'lime soda', 'matar ka shorba', 'rotis', 'tandoori subz', 'litchi rabdi', 'mushroom', 'papdi', 'palak shorba', 'thumbs up', 'stuffed kulcha', 'kulfi', 'veg do pyaza', 'paratha', 'lays', 'litchi', 'pulao', 'pindi chole', 'chocolate ice cream', 'veg', 'lime', 'palak', 'dal', 'grill', 'puri', 'veggies', 'salad', 'egg', 'tomato shorba', 'veg biryani', 'milk', 'raita', 'capsicum', 'latte', 'dal thadka', 'veg biriyani', 'rasam', 'veg rice', 'sev', 'sabji', 'jamoon', 'bread basket', 'aloo capsicum gravy', 'curd', 'choco', 'thali', 'aloo capsicum', 'dal makhni', 'rabdi', 'pudina juice', 'paneer makhani', 'kulcha', 'fulka', 'paneer curry', 'roll', 'hot and sour', 'aloo fry', 'gulab jamun', 'tandoori subzi', 'buttermilk', 'rice', 'tandoori', 'baby corn fry', 'do pyaza', 'lassi', 'soda', 'reshmi kebab', 'garlic naan', 'curd rice', 'tandoori aloo', 'tandoori paneer', 'hulk', 'gulab jamoon', 'sweet', 'birthday treat', 'dal palak', 'tandoori platter', 'cutlet', 'hot and sour soup', 'jamun', 'white rice', 'ice cream', 'kadai', 'veg platter', 'tea', 'naan', 'kebab', 'vanilla', 'paneer tikka', 'butter', 'paneer kadai', 'paneer reshmi', 'crispy fried baby corn', 'mint juice', 'rabri', 'chole', 'channa masala', 'baby corn', 'cock', 'hara bhara kabab', 'veggie', 'corn fry', 'veg do pyaz']",12.9116225,77.6388622,8.0
"2011,1st Floor, HAL 2nd Stage,100 Feet Road, Indiranagar, Bangalore",Urban Tamaasha,Indiranagar,"['chocolate', 'butter naan', 'cutlets', 'kabab', 'salads', 'lasagna', 'urban chilli paneer', 'dal makhani', 'mango', 'chicken starters', 'roti', 'spaghetti aglio oli', 'cheesecake', 'garlic sauce', 'aglio olio', 'banjara chicken', 'jeera rice', 'paneer gravy', 'paneer', 'roti.', 'chicken', 'burnt garlic fried rice', 'thai salad', 'bolognese', 'dynamite chicken', 'ida', 'lemon grass fish', 'cheese', 'paneer kabab', 'bacon', 'butter chicken', 'cake', 'lime soda', 'coffee', 'bruschetta', 'cheese roll', 'pesto', 'rotis', 'manchow soup', 'burger', 'butter masala', 'chapathi', 'eggs', 'dahi', 'garlic fried rice', 'tomato and basil soup', 'tandoori jhinga', 'cheese balls', 'veg', 'crispy baby corn', 'lime', 'tomato bruschetta', 'palak', 'dal', 'biryani rice', 'chicken butter masala', 'chicken kebab', 'evergreen', 'cottage cheese', 'spaghetti', 'stuffed mushrooms', 'noodles', 'brownie', 'pepper chicken', 'dum biryani', 'wedges', 'anise', 'veggies', 'basa fish', 'salad', 'crab', 'egg', 'cold coffee', 'non veg soup', 'latte', 'tandoori roti', 'veg starter', 'prawn fritters', 'chai', 'sizzling brownie', 'chicken tikka', 'curd', 'broccoli and cheddar soup', 'choco', 'dehati chicken', 'prawns', 'mashed potato', 'lemon grass chicken', 'virgin mojito', 'vanilla ice cream', 'spaghetti aglio olio', 'pasta', 'rogan josh', 'paneer cutlet', 'roll', 'manchow', 'cheese rolls', 'fish', 'chicken butter', 'chocolate fudge', 'rumali', 'lamb lasagna', 'paneer butter masala', 'gulab jamun', 'cheddar cheese', 'fudge', 'coleslaw salad', 'brownie with vanilla ice cream', 'angara murgh', 'stuffed mushroom', 'rice', 'chicken curry', 'kadi', 'tandoori', 'soda', 'chilli paneer', 'pesto pasta', 'cheese ball', 'crispy chilly potato', 'saffron rice', 'veg starters', 'crispy chilly', 'malai kofta', 'halwa', 'green lime soda', 'sweet', 'lagoon', 'coriander soup', 'birthday treat', 'paneer lababdar', 'tandoori prawns', 'veg soup', 'mojito', 'bun', 'fish finger', 'cutlet', 'jamun', 'broccoli soup', 'tea', 'ice cream', 'kebab', 'naan', 'coleslaw', 'vanilla', 'cold coffe', 'paneer tikka', 'garlic noodles', 'butter', 'crispy fish', 'sweet corn', 'lemon coriander soup', 'dragon rolls', 'beer battered fish', 'smoke house', 'baby corn', 'paneer butter', 'chicken patiala', 'dragon roll', 'chilly potato', 'chicken angara', 'fried rice', 'veggie', 'dahi kebab', 'fries', 'tuna', 'cheesy', 'mushroom', 'chicken steak']",12.9732913,77.6404672,9.0
"2022, 100 Feet Road,HAL 2nd Stage, Indiranagar, Bangalore",Pasta Street,Indiranagar,"['chocolate', 'creamy chicken', 'lasagna', 'bread', 'garlic mushroom', 'cheesecake', 'paneer', 'chicken', 'smiles', 'bolognese', 'chicken bruschetta', 'spaghetti and meatballs', 'lychee', 'cheese', 'cake', 'bruschetta', 'blueberry cheese cake', 'pesto', 'upma', 'sausage', 'pesto cheesy garlic bread', 'veg risotto', 'cheese garlic bread', 'garlic mushrooms', 'chilli garlic pizza', 'veg', 'lime', 'grill', 'chicken sausage', 'spaghetti', 'cheese cake', 'blueberry', 'exotica pizza', 'tiramisu', 'mint mojito', 'veggies', 'egg', 'chocolate cake', 'milk', 'lasagne', 'death by chocolate', 'vegetarian pizza', 'garlic bread', 'seafood pizza', 'mixed sauce pasta', 'grilled fish', 'om pizza', 'classic', 'choco', 'mushroom soup', 'coconut milk', 'virgin mojito', 'pasta', 'roll', 'pizza', 'fish', 'white sauce pasta', 'cocktail', 'primavera', 'chicken calzone', 'red sauce pasta', 'feast pizza', 'rice', 'lassi', 'verona exotica pizza', 'ravioli', 'sweet', 'lagoon', 'creamy mushroom soup', 'birthday treat', 'mojito', 'meat feast', 'chicken lasagna', 'aglio e olio', 'veg pasta', 'grilled basa', 'minced chicken', 'broccoli soup', 'strawberry', 'tea', 'chicken roast', 'dates', 'cheesy garlic bread', 'strawberry mouse', 'chicken sausage pizza', 'mushroom lovers', 'butter', 'grilled chicken', 'paneer pizza', 'chicken delight', 'rocket pizza', 'cock', 'blueberry cheese', 'veggie', 'ice tea', 'exotica', 'cheesy', 'mushroom']",12.9732913,77.6404672,10.0
